id,area_index,area,time,time_end,time_stayed
10012,5,common,37854,37943,79
10012,6,room 1,37944,38649,704
10012,7,common,38650,38744,83
10012,8,service counter,38745,38758,12
10012,9,common,38759,38816,50
10012,10,toilet 2,38817,39067,249
10012,11,common,39068,39095,24
10012,12,main convention,39096,41338,2232
10012,13,common,41339,41376,33
10012,14,exhibition hall,41377,42798,1419
10012,15,common,42799,42822,21
10012,16,exit 17-0,42823,42883,60
10014,0,entrance 2-0,31940,31947,7
10014,1,common,31948,31976,26
10014,2,reception,31977,32358,381
10014,3,common,32359,32431,67
10014,4,south stairway (1st floor),32432,32447,14
10014,5,south stairway (2nd floor),32448,32474,25
10014,6,common,32475,32551,67
10014,7,toilet 3,32552,32918,366
10014,8,common,32919,32990,62
10014,9,south stairway (2nd floor),32991,33006,14
10014,10,south stairway (1st floor),33007,33029,21
10014,11,common,33030,33083,47
10014,12,service counter,33084,33090,6
10014,13,common,33091,33115,22
10014,14,main convention,33116,38042,4919
10014,15,common,38043,38293,236
10014,16,poster area,38294,38323,27
10014,17,common,38324,38393,66
10014,18,sub convention a,38394,40906,2509
10014,19,common,40907,40937,30
10014,20,poster area,40938,40969,30
10014,21,common,40970,40987,17
10014,22,toilet 1,40988,41408,420
10014,23,common,41409,41418,9
10014,24,poster area,41419,41728,309
10014,25,common,41729,41758,27
10014,26,poster area,41759,41767,8
10014,27,common,41768,41940,157
10014,28,main convention,41941,43166,1221
10014,29,common,43167,43212,43
10014,30,service counter,43213,43222,9
10014,31,common,43223,43248,24
10014,32,exit 17-0,43249,43309,60
10015,0,entrance 4-0,31700,31708,8
10015,1,common,31709,31720,11
10015,2,reception,31721,31988,267
10015,3,common,31989,32098,98
10015,4,exhibition hall,32099,32567,453
10015,5,common,32568,32741,169
10015,6,main convention,32742,34680,1932
10015,7,common,34681,34702,19
10015,8,toilet 2,34703,34786,82
10015,9,common,34787,34952,145
10015,10,poster area,34953,34968,14
10015,11,common,34969,34985,15
10015,12,sub convention b,34986,36617,1630
10015,13,common,36618,36639,19
10015,14,poster area,36640,37086,445
10015,15,common,37087,37110,21
10015,16,toilet 1,37111,37196,84
10015,17,common,37197,37304,94
10015,18,exhibition hall,37305,39126,1811
10015,19,common,39127,39211,80
10015,20,main convention,39212,41424,2204
10015,21,common,41425,41627,184
10015,22,toilet 1,41628,41739,110
10015,23,common,41740,42001,241
10015,24,main convention,42002,42122,113
10015,25,common,42123,42183,54
10015,26,exit 15-0,42184,42244,60
10021,0,entrance 2-0,31680,31690,10
10021,1,common,31691,31710,18
10021,2,reception,31711,31928,217
10021,3,common,31929,32446,502
10021,4,exhibition hall,32447,34968,2519
10021,5,common,34969,35063,84
10021,6,toilet 2,35064,35108,44
10021,7,common,35109,35145,33
10021,8,main convention,35146,37521,2361
10021,9,common,37522,37693,152
10021,10,toilet 1,37694,37728,34
10021,11,common,37729,37751,21
10021,12,poster area,37752,37767,14
10021,13,common,37768,37798,30
10021,14,poster area,37799,37823,22
10021,15,common,37824,38030,191
10021,16,room 3,38031,38598,567
10021,17,common,38599,38615,15
10021,18,service counter,38616,38630,13
10021,19,common,38631,38688,51
10021,20,south stairway (1st floor),38689,38706,16
10021,21,south stairway (2nd floor),38707,38731,23
10021,22,common,38732,38763,28
10021,23,rest area,38764,41176,2411
10021,24,common,41177,41258,71
10021,25,toilet 3,41259,41357,97
10021,26,common,41358,41426,60
10021,27,south stairway (2nd floor),41427,41444,16
10021,28,south stairway (1st floor),41445,41470,24
10021,29,common,41471,41533,56
10021,30,exhibition hall,41534,41834,290
10021,31,common,41835,41909,68
10021,32,main convention,41910,42785,867
10021,33,common,42786,42923,121
10021,34,exit 5-0,42924,42984,60
10022,0,entrance 0-2,34580,34587,7
10022,1,common,34588,34594,6
10022,2,reception,34595,34608,13
10022,3,common,34609,34625,15
10022,4,reception,34626,35048,422
10022,5,common,35049,35083,30
10022,6,poster area,35084,35092,8
10022,7,common,35093,35702,607
10022,8,poster area,35703,35716,12
10022,9,common,35717,35849,114
10022,10,main convention,35850,37516,1659
10022,11,common,37517,37547,27
10022,12,toilet 2,37548,37718,170
10022,13,common,37719,37820,90
10022,14,exhibition hall,37821,40721,2895
10022,15,common,40722,40757,31
10022,16,south stairway (1st floor),40758,40773,14
10022,17,south stairway (2nd floor),40774,40797,22
10022,18,common,40798,40825,24
10022,19,rest area,40826,42755,1926
10022,20,common,42756,42800,41
10022,21,south stairway (2nd floor),42801,42820,18
10022,22,south stairway (1st floor),42821,42847,25
10022,23,common,42848,42905,52
10022,24,exit 17-0,42906,42966,60
10026,0,entrance 4-0,31500,31508,8
10026,1,common,31509,31521,12
10026,2,reception,31522,31688,166
10026,3,common,31689,31790,91
10026,4,exhibition hall,31791,32581,775
10026,5,common,32582,32768,182
10026,6,main convention,32769,35274,2503
10026,7,common,35275,35313,34
10026,8,exhibition hall,35314,35406,89
10026,9,common,35407,35443,32
10026,10,main convention,35444,37915,2463
10026,11,common,37916,37971,51
10026,12,toilet 2,37972,38308,336
10026,13,common,38309,38373,57
10026,14,service counter,38374,38387,12
10026,15,common,38388,38549,148
10026,16,poster area,38550,38581,29
10026,17,common,38582,38636,52
10026,18,sub convention a,38637,40913,2270
10026,19,common,40914,40975,59
10026,20,poster area,40976,40999,22
10026,21,common,41000,41089,84
10026,22,south stairway (1st floor),41090,41108,17
10026,23,south stairway (2nd floor),41109,41133,23
10026,24,common,41134,41207,64
10026,25,toilet 3,41208,41398,190
10026,26,common,41399,41477,69
10026,27,south stairway (2nd floor),41478,41497,18
10026,28,south stairway (1st floor),41498,41524,25
10026,29,common,41525,41565,37
10026,30,exit 15-0,41566,41626,60
10027,0,entrance 2-0,31640,31648,8
10027,1,common,31649,31657,8
10027,2,reception,31658,31908,250
10027,3,common,31909,32110,177
10027,4,toilet 2,32111,32255,143
10027,5,common,32256,32312,50
10027,6,service counter,32313,32319,6
10027,7,common,32320,32343,21
10027,8,exhibition hall,32344,32543,192
10027,9,common,32544,32701,151
10027,10,main convention,32702,38076,5365
10027,11,common,38077,38354,262
10027,12,poster area,38355,38364,9
10027,13,common,38365,38457,87
10027,14,sub convention a,38458,41033,2571
10027,15,common,41034,41068,34
10027,16,poster area,41069,41106,36
10027,17,common,41107,41377,247
10027,18,toilet 2,41378,41618,240
10027,19,common,41619,41696,71
10027,20,service counter,41697,41818,120
10027,21,common,41819,41840,20
10027,22,exhibition hall,41841,41911,65
10027,23,common,41912,41961,45
10027,24,main convention,41962,43212,1242
10027,25,common,43213,43294,76
10027,26,exit 17-0,43295,43355,60
10032,0,entrance 2-0,33200,33208,8
10032,1,common,33209,33216,7
10032,2,reception,33217,33458,241
10032,3,common,33459,33474,14
10032,4,reception,33475,33498,23
10032,5,common,33499,34266,760
10032,6,sub convention b,34267,40548,6280
10032,7,common,40549,40559,10
10032,8,poster area,40560,40587,25
10032,9,common,40588,40672,77
10032,10,south stairway (1st floor),40673,40689,15
10032,11,south stairway (2nd floor),40690,40713,22
10032,12,common,40714,40784,62
10032,13,toilet 3,40785,40876,90
10032,14,common,40877,40944,59
10032,15,south stairway (2nd floor),40945,40961,15
10032,16,south stairway (1st floor),40962,40985,22
10032,17,common,40986,41023,34
10032,18,exit 15-0,41024,41084,60
10033,0,entrance 2-0,32750,32758,8
10033,1,common,32759,32766,7
10033,2,reception,32767,33178,411
10033,3,common,33179,33194,14
10033,4,reception,33195,33212,17
10033,5,common,33213,33628,409
10033,6,poster area,33629,33645,15
10033,7,common,33646,34199,551
10033,8,sub convention c,34200,40745,6544
10033,9,common,40746,40756,10
10033,10,poster area,40757,40777,19
10033,11,common,40778,40793,15
10033,12,toilet 1,40794,40900,105
10033,13,common,40901,40960,57
10033,14,poster area,40961,40982,20
10033,15,common,40983,41088,96
10033,16,exit 17-0,41089,41149,60
10037,0,entrance 4-0,31780,31787,7
10037,1,common,31788,31797,9
10037,2,reception,31798,32008,210
10037,3,common,32009,32468,455
10037,4,south stairway (1st floor),32469,32488,18
10037,5,south stairway (2nd floor),32489,32514,24
10037,6,common,32515,32550,31
10037,7,room 5,32551,41408,8857
10037,8,common,41409,41459,44
10037,9,toilet 3,41460,41527,66
10037,10,common,41528,41603,66
10037,11,south stairway (2nd floor),41604,41620,15
10037,12,south stairway (1st floor),41621,41645,23
10037,13,common,41646,41687,38
10037,14,exit 15-0,41688,41748,60
10041,0,entrance 0-2,32700,32707,7
10041,1,common,32708,32714,6
10041,2,reception,32715,32750,35
10041,3,common,32751,32759,8
10041,4,reception,32760,33098,338
10041,5,common,33099,33155,50
10041,6,south stairway (1st floor),33156,33171,14
10041,7,south stairway (2nd floor),33172,33193,20
10041,8,common,33194,33229,30
10041,9,room 5,33230,40904,7672
10041,10,common,40905,40938,29
10041,11,south stairway (2nd floor),40939,40954,14
10041,12,south stairway (1st floor),40955,40977,21
10041,13,common,40978,41025,42
10041,14,exit 17-0,41026,41086,60
10045,0,entrance 4-0,31840,31847,7
10045,1,common,31848,31864,15
10045,2,reception,31865,32018,153
10045,3,common,32019,32050,29
10045,4,reception,32051,32084,33
10045,5,common,32085,32577,473
10045,6,main convention,32578,37725,5138
10045,7,common,37726,37757,29
10045,8,toilet 2,37758,37855,96
10045,9,common,37856,38128,252
10045,10,poster area,38129,38137,8
10045,11,common,38138,38180,39
10045,12,poster area,38181,38187,6
10045,13,common,38188,38206,17
10045,14,sub convention a,38207,40413,2205
10045,15,common,40414,40458,40
10045,16,poster area,40459,40469,10
10045,17,common,40470,40628,139
10045,18,main convention,40629,41556,923
10045,19,common,41557,41627,64
10045,20,exit 15-0,41628,41688,60
10046,0,entrance 2-0,30980,30990,10
10046,1,common,30991,31019,26
10046,2,reception,31020,31418,398
10046,3,common,31419,32460,1031
10046,4,south stairway (1st floor),32461,32481,19
10046,5,south stairway (2nd floor),32482,32508,25
10046,6,common,32509,32553,39
10046,7,room 5,32554,40938,8384
10046,8,common,40939,40973,30
10046,9,south stairway (2nd floor),40974,40989,14
10046,10,south stairway (1st floor),40990,41013,22
10046,11,common,41014,41049,32
10046,12,exit 15-0,41050,41110,60
10051,0,entrance 2-0,31160,31167,7
10051,1,common,31168,31176,8
10051,2,reception,31177,31588,411
10051,3,common,31589,31598,9
10051,4,reception,31599,31637,38
10051,5,common,31638,31724,76
10051,6,exhibition hall,31725,32467,735
10051,7,common,32468,32567,95
10051,8,main convention,32568,38014,5442
10051,9,common,38015,38370,332
10051,10,sub convention a,38371,40668,2297
10051,11,common,40669,40694,24
10051,12,poster area,40695,40715,19
10051,13,common,40716,41249,527
10051,14,toilet 1,41250,41449,198
10051,15,common,41450,41631,167
10051,16,exhibition hall,41632,41822,173
10051,17,common,41823,41889,60
10051,18,main convention,41890,43007,1103
10051,19,common,43008,43025,16
10051,20,service counter,43026,43032,6
10051,21,common,43033,43068,32
10051,22,exit 15-0,43069,43129,60
10053,0,entrance 4-0,30610,30617,7
10053,1,common,30618,30625,7
10053,2,reception,30626,31078,452
10053,3,common,31079,31133,48
10053,4,south stairway (1st floor),31134,31140,6
10053,5,common,31141,31183,37
10053,6,exhibition hall,31184,32426,1238
10053,7,common,32427,32490,59
10053,8,main convention,32491,37869,5371
10053,9,common,37870,38028,145
10053,10,poster area,38029,38037,8
10053,11,common,38038,38110,66
10053,12,sub convention a,38111,40488,2377
10053,13,common,40489,40530,38
10053,14,poster area,40531,40560,27
10053,15,common,40561,40625,58
10053,16,south stairway (1st floor),40626,40641,14
10053,17,south stairway (2nd floor),40642,40665,22
10053,18,common,40666,40737,62
10053,19,toilet 3,40738,41468,729
10053,20,common,41469,41550,72
10053,21,south stairway (2nd floor),41551,41569,17
10053,22,south stairway (1st floor),41570,41599,28
10053,23,common,41600,41647,44
10053,24,exit 15-0,41648,41708,60
10056,0,entrance 2-0,31480,31489,9
10056,1,common,31490,31510,19
10056,2,reception,31511,31818,307
10056,3,common,31819,31926,96
10056,4,exhibition hall,31927,32546,607
10056,5,common,32547,32673,120
10056,6,main convention,32674,35088,2408
10056,7,common,35089,35122,30
10056,8,toilet 2,35123,35322,198
10056,9,common,35323,35350,24
10056,10,main convention,35351,37780,2422
10056,11,common,37781,39075,1293
10056,12,main convention,39076,41573,2493
10056,13,common,41574,41632,55
10056,14,toilet 2,41633,41918,285
10056,15,common,41919,41993,67
10056,16,main convention,41994,42914,914
10056,17,common,42915,43048,116
10056,18,exit 5-0,43049,43109,60
10058,0,entrance 2-0,32260,32269,9
10058,1,common,32270,32300,28
10058,2,reception,32301,32578,277
10058,3,common,32579,32877,285
10058,4,service counter,32878,32892,13
10058,5,common,32893,32917,22
10058,6,main convention,32918,34961,2035
10058,7,common,34962,35146,166
10058,8,poster area,35147,35163,15
10058,9,common,35164,35187,22
10058,10,sub convention b,35188,37782,2592
10058,11,common,37783,37792,9
10058,12,poster area,37793,37810,16
10058,13,common,37811,37821,10
10058,14,toilet 1,37822,38058,236
10058,15,common,38059,38081,21
10058,16,poster area,38082,38099,16
10058,17,common,38100,38838,738
10058,18,poster area,38839,38847,8
10058,19,common,38848,39252,389
10058,20,main convention,39253,41512,2247
10058,21,common,41513,41557,41
10058,22,toilet 2,41558,41748,190
10058,23,common,41749,41808,53
10058,24,main convention,41809,43043,1224
10058,25,common,43044,43107,57
10058,26,exit 15-0,43108,43168,60
10077,0,entrance 0-2,30830,30838,8
10077,1,common,30839,30855,15
10077,2,reception,30856,31208,352
10077,3,common,31209,31228,18
10077,4,reception,31229,31269,40
10077,5,common,31270,31350,71
10077,6,toilet 1,31351,31638,287
10077,7,common,31639,31666,25
10077,8,poster area,31667,32425,756
10077,9,common,32426,32758,313
10077,10,main convention,32759,34800,2029
10077,11,common,34801,34939,122
10077,12,poster area,34940,34954,13
10077,13,common,34955,34971,15
10077,14,sub convention b,34972,38826,3849
10077,15,common,38827,38837,10
10077,16,poster area,38838,38856,17
10077,17,common,38857,38867,10
10077,18,toilet 1,38868,39138,270
10077,19,common,39139,39400,238
10077,20,main convention,39401,41271,1857
10077,21,common,41272,41320,43
10077,22,exhibition hall,41321,41779,454
10077,23,common,41780,41830,46
10077,24,main convention,41831,43043,1204
10077,25,common,43044,43076,29
10077,26,toilet 2,43077,43202,124
10077,27,common,43203,43275,64
10077,28,service counter,43276,43282,6
10077,29,common,43283,43319,33
10077,30,exit 15-0,43320,43380,60
10080,0,entrance 2-0,32390,32399,9
10080,1,common,32400,32409,9
10080,2,reception,32410,32618,208
10080,3,common,32619,32683,57
10080,4,poster area,32684,32708,22
10080,5,common,32709,32723,13
10080,6,poster area,32724,32730,6
10080,7,common,32731,33118,387
10080,8,poster area,33119,33134,14
10080,9,common,33135,33666,514
10080,10,exhibition hall,33667,34272,589
10080,11,common,34273,34398,117
10080,12,poster area,34399,34407,8
10080,13,common,34408,34433,24
10080,14,sub convention c,34434,39808,5373
10080,15,common,39809,39819,10
10080,16,poster area,39820,39837,16
10080,17,common,39838,40016,156
10080,18,toilet 2,40017,40328,311
10080,19,common,40329,40377,42
10080,20,service counter,40378,40391,12
10080,21,common,40392,40423,28
10080,22,exit 15-0,40424,40484,60
10084,0,entrance 0-2,31870,31878,8
10084,1,common,31879,31902,21
10084,2,reception,31903,32168,265
10084,3,common,32169,32179,10
10084,4,reception,32180,32208,28
10084,5,common,32209,32264,51
10084,6,south stairway (1st floor),32265,32272,7
10084,7,common,32273,32316,39
10084,8,exhibition hall,32317,32575,247
10084,9,common,32576,32717,137
10084,10,main convention,32718,35117,2392
10084,11,common,35118,35295,163
10084,12,poster area,35296,35311,14
10084,13,common,35312,35348,33
10084,14,sub convention b,35349,37899,2547
10084,15,common,37900,37948,44
10084,16,poster area,37949,37964,14
10084,17,common,37965,37973,8
10084,18,room 1,37974,38436,459
10084,19,common,38437,38792,350
10084,20,south stairway (1st floor),38793,38808,14
10084,21,south stairway (2nd floor),38809,38832,22
10084,22,common,38833,38903,61
10084,23,toilet 3,38904,39246,341
10084,24,common,39247,39321,65
10084,25,south stairway (2nd floor),39322,39337,14
10084,26,south stairway (1st floor),39338,39360,21
10084,27,common,39361,39454,81
10084,28,main convention,39455,41569,2102
10084,29,common,41570,41782,192
10084,30,toilet 1,41783,42117,333
10084,31,common,42118,42253,118
10084,32,service counter,42254,42260,6
10084,33,common,42261,42283,20
10084,34,main convention,42284,43180,889
10084,35,common,43181,43253,68
10084,36,exit 17-0,43254,43314,60
10085,0,entrance 2-0,31460,31471,11
10085,1,common,31472,31482,10
10085,2,reception,31483,31638,155
10085,3,common,31639,31659,19
10085,4,reception,31660,31696,36
10085,5,common,31697,31737,36
10085,6,poster area,31738,31753,14
10085,7,common,31754,31770,15
10085,8,toilet 1,31771,31878,107
10085,9,common,31879,33280,1373
10085,10,main convention,33281,34777,1489
10085,11,common,34778,34899,105
10085,12,poster area,34900,34913,12
10085,13,common,34914,34930,15
10085,14,sub convention b,34931,35667,735
10085,15,common,35668,35690,20
10085,16,poster area,35691,35704,12
10085,17,common,35705,35760,48
10085,18,exit 15-0,35761,35821,60
10088,0,entrance 2-0,33380,33388,8
10088,1,common,33389,33396,7
10088,2,reception,33397,33658,261
10088,3,common,33659,33676,16
10088,4,reception,33677,33695,18
10088,5,common,33696,33718,20
10088,6,poster area,33719,33742,22
10088,7,common,33743,33797,50
10088,8,toilet 1,33798,33887,88
10088,9,common,33888,34119,224
10088,10,poster area,34120,34237,115
10088,11,common,34238,34247,9
10088,12,sub convention a,34248,40848,6600
10088,13,common,40849,40892,42
10088,14,poster area,40893,40933,38
10088,15,common,40934,41021,82
10088,16,south stairway (1st floor),41022,41030,8
10088,17,common,41031,41070,36
10088,18,exit 15-0,41071,41131,60
10090,0,entrance 4-0,31610,31618,8
10090,1,common,31619,31637,17
10090,2,reception,31638,31818,180
10090,3,common,31819,31835,15
10090,4,reception,31836,31871,35
10090,5,common,31872,31909,34
10090,6,poster area,31910,31927,16
10090,7,common,31928,31958,28
10090,8,toilet 1,31959,32098,139
10090,9,common,32099,32118,18
10090,10,poster area,32119,32428,309
10090,11,common,32429,32610,175
10090,12,south stairway (1st floor),32611,32630,18
10090,13,south stairway (2nd floor),32631,32656,24
10090,14,common,32657,32695,34
10090,15,room 5,32696,41138,8442
10090,16,common,41139,41166,24
10090,17,south stairway (2nd floor),41167,41183,15
10090,18,south stairway (1st floor),41184,41207,22
10090,19,common,41208,41263,50
10090,20,exit 17-0,41264,41324,60
10091,0,entrance 2-0,34150,34158,8
10091,1,common,34159,34183,22
10091,2,reception,34184,34478,294
10091,3,common,34479,34540,55
10091,4,poster area,34541,34549,8
10091,5,common,34550,34568,17
10091,6,sub convention b,34569,39031,4461
10091,7,common,39032,39066,32
10091,8,poster area,39067,39086,18
10091,9,common,39087,39173,81
10091,10,south stairway (1st floor),39174,39196,21
10091,11,south stairway (2nd floor),39197,39219,21
10091,12,common,39220,39293,64
10091,13,toilet 3,39294,39508,214
10091,14,common,39509,39581,63
10091,15,south stairway (2nd floor),39582,39597,14
10091,16,south stairway (1st floor),39598,39620,21
10091,17,common,39621,39666,40
10091,18,exit 17-0,39667,39727,60
10093,0,entrance 4-0,32450,32459,9
10093,1,common,32460,32473,13
10093,2,reception,32474,32668,194
10093,3,common,32669,32676,7
10093,4,reception,32677,32722,45
10093,5,common,32723,32761,34
10093,6,poster area,32762,32777,14
10093,7,common,32778,33510,716
10093,8,exhibition hall,33511,34277,757
10093,9,common,34278,34408,122
10093,10,poster area,34409,34424,14
10093,11,common,34425,34454,28
10093,12,sub convention c,34455,40369,5913
10093,13,common,40370,40389,18
10093,14,poster area,40390,40408,17
10093,15,common,40409,40421,12
10093,16,toilet 1,40422,40644,221
10093,17,common,40645,40746,92
10093,18,south stairway (1st floor),40747,40753,6
10093,19,common,40754,40797,38
10093,20,exit 17-0,40798,40858,60
10101,0,entrance 2-0,32130,32139,9
10101,1,common,32140,32158,17
10101,2,reception,32159,32468,309
10101,3,common,32469,32846,361
10101,4,main convention,32847,37962,5095
10101,5,common,37963,38173,194
10101,6,room 1,38174,38674,497
10101,7,common,38675,39215,522
10101,8,main convention,39216,41568,2348
10101,9,common,41569,41608,36
10101,10,toilet 2,41609,42012,402
10101,11,common,42013,42116,90
10101,12,exit 15-0,42117,42177,60
10109,0,entrance 2-0,33750,33757,7
10109,1,common,33758,33772,13
10109,2,reception,33773,33938,165
10109,3,common,33939,34208,263
10109,4,poster area,34209,34237,26
10109,5,common,34238,34276,37
10109,6,sub convention b,34277,39206,4928
10109,7,common,39207,39215,8
10109,8,poster area,39216,39239,21
10109,9,common,39240,39249,9
10109,10,toilet 1,39250,39356,105
10109,11,common,39357,39365,8
10109,12,poster area,39366,40277,910
10109,13,common,40278,40771,478
10109,14,exit 17-0,40772,40832,60
10111,0,entrance 7-0,40770,40777,7
10111,1,common,40778,40805,24
10111,2,room 2,40806,41056,249
10111,3,common,41057,41090,32
10111,4,poster area,41091,41468,377
10111,5,common,41469,41495,25
10111,6,room 2,41496,42718,1222
10111,7,common,42719,42786,58
10111,8,north stairway (1st floor),42787,42793,6
10111,9,common,42794,42850,49
10111,10,exit 19-15,42851,42911,60
10112,0,entrance 2-0,32730,32737,7
10112,1,common,32738,32745,7
10112,2,reception,32746,33088,342
10112,3,common,33089,33106,16
10112,4,reception,33107,33128,21
10112,5,common,33129,33238,97
10112,6,toilet 1,33239,33308,69
10112,7,common,33309,33319,10
10112,8,poster area,33320,33667,346
10112,9,common,33668,34188,520
10112,10,sub convention c,34189,40198,6008
10112,11,common,40199,40393,170
10112,12,toilet 2,40394,40658,264
10112,13,common,40659,40838,155
10112,14,exit 5-0,40839,40899,60
10115,0,entrance 0-2,31420,31428,8
10115,1,common,31429,31454,23
10115,2,reception,31455,31788,333
10115,3,common,31789,31896,96
10115,4,exhibition hall,31897,32576,660
10115,5,common,32577,32697,116
10115,6,main convention,32698,35121,2407
10115,7,common,35122,35160,34
10115,8,toilet 2,35161,35398,237
10115,9,common,35399,35426,24
10115,10,main convention,35427,37682,2247
10115,11,common,37683,37834,133
10115,12,poster area,37835,37843,8
10115,13,common,37844,37853,9
10115,14,toilet 1,37854,38008,154
10115,15,common,38009,38018,9
10115,16,poster area,38019,38388,369
10115,17,common,38389,38525,127
10115,18,south stairway (1st floor),38526,38542,15
10115,19,south stairway (2nd floor),38543,38565,21
10115,20,common,38566,38593,24
10115,21,rest area,38594,39039,444
10115,22,common,39040,39068,25
10115,23,south stairway (2nd floor),39069,39086,16
10115,24,south stairway (1st floor),39087,39111,23
10115,25,common,39112,39208,89
10115,26,service counter,39209,39222,12
10115,27,common,39223,39252,28
10115,28,main convention,39253,41521,2259
10115,29,common,41522,41615,84
10115,30,south stairway (1st floor),41616,41633,16
10115,31,south stairway (2nd floor),41634,41656,21
10115,32,common,41657,41726,60
10115,33,toilet 3,41727,41959,231
10115,34,common,41960,42030,61
10115,35,south stairway (2nd floor),42031,42046,14
10115,36,south stairway (1st floor),42047,42069,21
10115,37,common,42070,42159,78
10115,38,main convention,42160,42875,712
10115,39,common,42876,42961,75
10115,40,exit 15-0,42962,43022,60
10117,0,entrance 4-0,32630,32637,7
10117,1,common,32638,32647,9
10117,2,reception,32648,32898,250
10117,3,common,32899,33065,148
10117,4,main convention,33066,34987,1915
10117,5,common,34988,35021,30
10117,6,toilet 2,35022,35128,106
10117,7,common,35129,35164,32
10117,8,main convention,35165,37597,2429
10117,9,common,37598,37628,27
10117,10,toilet 2,37629,37744,114
10117,11,common,37745,37952,186
10117,12,poster area,37953,37968,14
10117,13,common,37969,38868,897
10117,14,poster area,38869,38876,7
10117,15,common,38877,38917,36
10117,16,south stairway (1st floor),38918,38933,14
10117,17,south stairway (2nd floor),38934,38956,21
10117,18,common,38957,38984,24
10117,19,rest area,38985,39067,79
10117,20,common,39068,39114,43
10117,21,south stairway (2nd floor),39115,39136,20
10117,22,south stairway (1st floor),39137,39165,27
10117,23,common,39166,39275,100
10117,24,main convention,39276,41627,2341
10117,25,common,41628,41695,63
10117,26,toilet 2,41696,41913,216
10117,27,common,41914,41988,67
10117,28,service counter,41989,42002,12
10117,29,common,42003,42018,14
10117,30,exit 17-0,42019,42079,60
10121,0,entrance 2-0,31870,31879,9
10121,1,common,31880,31897,16
10121,2,reception,31898,32178,280
10121,3,common,32179,32293,103
10121,4,exhibition hall,32294,32533,231
10121,5,common,32534,32601,62
10121,6,south stairway (1st floor),32602,32620,17
10121,7,south stairway (2nd floor),32621,32647,25
10121,8,common,32648,32683,32
10121,9,room 5,32684,41277,8589
10121,10,common,41278,41306,25
10121,11,south stairway (2nd floor),41307,41323,15
