start_time,end_time,source,target,movement_count
29700,29999,south stairway (1st floor),poster area,1
29700,29999,south stairway (1st floor),south stairway (2nd floor),38
29700,29999,south stairway (1st floor),toilet 2,1
29700,29999,south stairway (2nd floor),room 6,3
29700,29999,south stairway (2nd floor),south stairway (1st floor),7
29700,29999,south stairway (2nd floor),toilet 3,15
29700,29999,toilet 1,exhibition hall,30
29700,29999,toilet 1,poster area,20
29700,29999,toilet 1,south stairway (1st floor),4
29700,29999,toilet 2,exhibition hall,4
29700,29999,toilet 2,poster area,1
29700,29999,toilet 2,toilet 1,1
29700,29999,toilet 3,south stairway (2nd floor),7
30000,30299,exhibition hall,main convention,1
30000,30299,poster area,exhibition hall,5
30000,30299,poster area,south stairway (1st floor),1
30000,30299,poster area,toilet 1,57
30000,30299,room 6,south stairway (2nd floor),7
30000,30299,south stairway (1st floor),exhibition hall,16
30000,30299,south stairway (1st floor),main convention,5
30000,30299,south stairway (1st floor),poster area,1
30000,30299,south stairway (1st floor),south stairway (2nd floor),33
30000,30299,south stairway (1st floor),toilet 2,1
30000,30299,south stairway (2nd floor),room 6,3
30000,30299,south stairway (2nd floor),south stairway (1st floor),22
30000,30299,south stairway (2nd floor),toilet 3,11
30000,30299,toilet 1,exhibition hall,30
30000,30299,toilet 1,poster area,18
30000,30299,toilet 1,south stairway (1st floor),5
30000,30299,toilet 2,exhibition hall,11
30000,30299,toilet 2,poster area,2
30000,30299,toilet 2,south stairway (1st floor),1
30000,30299,toilet 3,south stairway (2nd floor),15
30300,30599,poster area,exhibition hall,8
30300,30599,poster area,main convention,1
30300,30599,poster area,south stairway (1st floor),3
30300,30599,poster area,toilet 1,36
30300,30599,room 6,south stairway (2nd floor),2
30300,30599,south stairway (1st floor),exhibition hall,12
30300,30599,south stairway (1st floor),main convention,4
30300,30599,south stairway (1st floor),poster area,2
30300,30599,south stairway (1st floor),south stairway (2nd floor),26
30300,30599,south stairway (1st floor),toilet 1,1
30300,30599,south stairway (1st floor),toilet 2,1
30300,30599,south stairway (2nd floor),room 6,2
30300,30599,south stairway (2nd floor),south stairway (1st floor),17
30300,30599,south stairway (2nd floor),toilet 3,9
30300,30599,toilet 1,exhibition hall,30
30300,30599,toilet 1,main convention,1
30300,30599,toilet 1,poster area,26
30300,30599,toilet 1,south stairway (1st floor),5
30300,30599,toilet 2,exhibition hall,4
30300,30599,toilet 2,poster area,1
30300,30599,toilet 3,south stairway (2nd floor),10
30600,30899,exhibition hall,main convention,310
30600,30899,north stairway (1st floor),main convention,1
30600,30899,poster area,exhibition hall,2
30600,30899,poster area,main convention,43
30600,30899,poster area,south stairway (1st floor),1
30600,30899,poster area,toilet 1,13
30600,30899,room 2,main convention,40
30600,30899,room 2,north stairway (1st floor),1
30600,30899,room 2,poster area,4
30600,30899,room 4,main convention,11
30600,30899,room 6,south stairway (2nd floor),3
30600,30899,south stairway (1st floor),exhibition hall,3
30600,30899,south stairway (1st floor),main convention,44
30600,30899,south stairway (1st floor),south stairway (2nd floor),5
30600,30899,south stairway (2nd floor),south stairway (1st floor),80
30600,30899,south stairway (2nd floor),toilet 3,5
30600,30899,toilet 1,exhibition hall,6
30600,30899,toilet 1,main convention,16
30600,30899,toilet 1,poster area,6
30600,30899,toilet 1,south stairway (1st floor),2
30600,30899,toilet 2,main convention,13
30600,30899,toilet 2,poster area,1
30600,30899,toilet 2,south stairway (1st floor),1
30600,30899,toilet 3,south stairway (2nd floor),13
30900,31199,exhibition hall,main convention,160
30900,31199,poster area,main convention,114
30900,31199,poster area,toilet 1,9
30900,31199,room 2,main convention,108
30900,31199,south stairway (1st floor),exhibition hall,2
30900,31199,south stairway (1st floor),main convention,61
30900,31199,south stairway (1st floor),south stairway (2nd floor),5
30900,31199,south stairway (2nd floor),south stairway (1st floor),4
30900,31199,south stairway (2nd floor),toilet 3,1
30900,31199,toilet 1,exhibition hall,1
30900,31199,toilet 1,main convention,57
30900,31199,toilet 1,poster area,2
30900,31199,toilet 2,main convention,4
30900,31199,toilet 3,south stairway (2nd floor),2
31200,31499,exhibition hall,main convention,4
31200,31499,exhibition hall,toilet 2,1
31200,31499,poster area,exhibition hall,1
31200,31499,poster area,main convention,1
31200,31499,poster area,toilet 1,10
31200,31499,room 3,exhibition hall,2
31200,31499,room 3,poster area,1
31200,31499,room 4,main convention,1
31200,31499,room 6,room 5,2
31200,31499,south stairway (1st floor),exhibition hall,1
31200,31499,south stairway (1st floor),main convention,13
31200,31499,south stairway (1st floor),poster area,1
31200,31499,south stairway (1st floor),south stairway (2nd floor),8
31200,31499,south stairway (1st floor),toilet 2,1
31200,31499,south stairway (2nd floor),room 6,1
31200,31499,south stairway (2nd floor),south stairway (1st floor),1
31200,31499,south stairway (2nd floor),toilet 3,4
31200,31499,toilet 1,exhibition hall,2
31200,31499,toilet 1,main convention,9
31200,31499,toilet 1,poster area,2
31200,31499,toilet 1,room 3,1
31200,31499,toilet 1,south stairway (1st floor),1
31200,31499,toilet 2,exhibition hall,2
31200,31499,toilet 3,south stairway (2nd floor),1
31500,31799,exhibition hall,main convention,9
31500,31799,poster area,exhibition hall,2
31500,31799,poster area,toilet 1,17
31500,31799,room 3,exhibition hall,5
31500,31799,room 3,main convention,1
31500,31799,room 3,south stairway (1st floor),4
31500,31799,south stairway (1st floor),exhibition hall,8
31500,31799,south stairway (1st floor),main convention,4
31500,31799,south stairway (1st floor),room 3,1
31500,31799,south stairway (1st floor),south stairway (2nd floor),12
31500,31799,south stairway (2nd floor),south stairway (1st floor),10
31500,31799,south stairway (2nd floor),toilet 3,10
31500,31799,toilet 1,exhibition hall,3
31500,31799,toilet 1,main convention,4
31500,31799,toilet 1,poster area,3
31500,31799,toilet 1,room 3,1
31500,31799,toilet 1,south stairway (1st floor),1
31500,31799,toilet 2,exhibition hall,1
31500,31799,toilet 2,main convention,2
31500,31799,toilet 2,poster area,1
31500,31799,toilet 3,south stairway (2nd floor),6
31800,32099,exhibition hall,poster area,4
31800,32099,exhibition hall,south stairway (1st floor),1
31800,32099,exhibition hall,toilet 1,1
31800,32099,exhibition hall,toilet 2,1
31800,32099,poster area,exhibition hall,6
31800,32099,poster area,room 3,1
31800,32099,poster area,toilet 1,11
31800,32099,room 2,poster area,1
31800,32099,room 3,exhibition hall,3
31800,32099,south stairway (1st floor),exhibition hall,8
31800,32099,south stairway (1st floor),main convention,3
31800,32099,south stairway (1st floor),poster area,1
31800,32099,south stairway (1st floor),south stairway (2nd floor),11
31800,32099,south stairway (2nd floor),south stairway (1st floor),11
31800,32099,south stairway (2nd floor),toilet 3,5
31800,32099,toilet 1,exhibition hall,5
31800,32099,toilet 1,main convention,2
31800,32099,toilet 1,poster area,11
31800,32099,toilet 1,room 3,2
31800,32099,toilet 1,south stairway (1st floor),3
31800,32099,toilet 2,exhibition hall,5
31800,32099,toilet 2,main convention,2
31800,32099,toilet 3,south stairway (2nd floor),8
32100,32399,exhibition hall,poster area,1
32100,32399,exhibition hall,south stairway (1st floor),4
32100,32399,exhibition hall,toilet 2,1
32100,32399,main convention,exhibition hall,41
32100,32399,main convention,poster area,10
32100,32399,main convention,south stairway (1st floor),4
32100,32399,main convention,toilet 1,1
32100,32399,main convention,toilet 2,13
32100,32399,poster area,exhibition hall,3
32100,32399,poster area,room 3,1
32100,32399,poster area,south stairway (1st floor),1
32100,32399,poster area,toilet 1,11
32100,32399,room 3,exhibition hall,13
32100,32399,room 3,toilet 2,1
32100,32399,south stairway (1st floor),exhibition hall,9
32100,32399,south stairway (1st floor),poster area,2
32100,32399,south stairway (1st floor),room 3,2
32100,32399,south stairway (1st floor),south stairway (2nd floor),19
32100,32399,south stairway (1st floor),toilet 2,1
32100,32399,south stairway (2nd floor),south stairway (1st floor),6
32100,32399,south stairway (2nd floor),toilet 3,7
32100,32399,toilet 1,exhibition hall,8
32100,32399,toilet 1,poster area,5
32100,32399,toilet 1,room 3,1
32100,32399,toilet 1,south stairway (1st floor),1
32100,32399,toilet 1,toilet 2,1
32100,32399,toilet 2,exhibition hall,3
32100,32399,toilet 2,south stairway (1st floor),1
32100,32399,toilet 3,south stairway (2nd floor),5
32400,32699,exhibition hall,main convention,179
32400,32699,exhibition hall,south stairway (1st floor),51
32400,32699,exhibition hall,toilet 2,1
32400,32699,main convention,exhibition hall,88
32400,32699,main convention,north stairway (1st floor),5
32400,32699,main convention,poster area,24
32400,32699,main convention,room 2,1
32400,32699,main convention,room 3,3
32400,32699,main convention,room 4,2
32400,32699,main convention,south stairway (1st floor),23
32400,32699,main convention,toilet 1,12
32400,32699,main convention,toilet 2,40
32400,32699,north stairway (1st floor),main convention,3
32400,32699,north stairway (1st floor),north stairway (2nd floor),3
32400,32699,north stairway (1st floor),toilet 1,2
32400,32699,north stairway (2nd floor),north stairway (1st floor),1
32400,32699,poster area,main convention,33
32400,32699,poster area,north stairway (1st floor),1
32400,32699,poster area,south stairway (1st floor),20
32400,32699,poster area,toilet 1,6
32400,32699,room 2,main convention,65
32400,32699,room 2,north stairway (1st floor),2
32400,32699,room 2,poster area,10
32400,32699,room 2,south stairway (1st floor),1
32400,32699,room 3,exhibition hall,6
32400,32699,room 3,main convention,8
32400,32699,room 3,poster area,1
32400,32699,room 3,south stairway (1st floor),8
32400,32699,room 4,main convention,4
32400,32699,south stairway (1st floor),exhibition hall,1
32400,32699,south stairway (1st floor),main convention,22
32400,32699,south stairway (1st floor),room 3,3
32400,32699,south stairway (1st floor),south stairway (2nd floor),144
32400,32699,south stairway (2nd floor),room 5,128
32400,32699,south stairway (2nd floor),south stairway (1st floor),23
32400,32699,south stairway (2nd floor),toilet 3,5
32400,32699,toilet 1,exhibition hall,3
32400,32699,toilet 1,main convention,10
32400,32699,toilet 1,poster area,8
32400,32699,toilet 1,south stairway (1st floor),11
32400,32699,toilet 2,exhibition hall,3
32400,32699,toilet 2,main convention,42
32400,32699,toilet 2,poster area,3
32400,32699,toilet 2,south stairway (1st floor),1
32400,32699,toilet 3,room 5,3
32400,32699,toilet 3,south stairway (2nd floor),5
32700,32999,exhibition hall,main convention,53
32700,32999,main convention,exhibition hall,3
32700,32999,main convention,poster area,8
32700,32999,main convention,room 2,1
32700,32999,main convention,toilet 1,6
32700,32999,north stairway (1st floor),main convention,2
32700,32999,north stairway (2nd floor),room 5,2
32700,32999,poster area,main convention,26
32700,32999,poster area,north stairway (1st floor),1
32700,32999,poster area,toilet 1,1
32700,32999,room 2,main convention,10
32700,32999,room 2,poster area,1
32700,32999,room 3,south stairway (1st floor),1
32700,32999,south stairway (1st floor),main convention,16
32700,32999,south stairway (1st floor),south stairway (2nd floor),29
32700,32999,south stairway (2nd floor),room 5,27
32700,32999,south stairway (2nd floor),south stairway (1st floor),14
32700,32999,south stairway (2nd floor),toilet 3,4
32700,32999,toilet 1,main convention,8
32700,32999,toilet 1,poster area,9
32700,32999,toilet 2,main convention,9
32700,32999,toilet 2,south stairway (1st floor),1
32700,32999,toilet 3,south stairway (2nd floor),8
33000,33299,exhibition hall,main convention,3
33000,33299,main convention,poster area,1
33000,33299,poster area,main convention,14
33000,33299,poster area,room 2,2
33000,33299,poster area,toilet 1,2
33000,33299,room 2,poster area,1
33000,33299,room 2,toilet 2,1
33000,33299,south stairway (1st floor),exhibition hall,1
33000,33299,south stairway (1st floor),main convention,7
33000,33299,south stairway (1st floor),south stairway (2nd floor),5
33000,33299,south stairway (2nd floor),room 5,10
33000,33299,south stairway (2nd floor),south stairway (1st floor),1
33000,33299,toilet 1,main convention,4
33000,33299,toilet 2,main convention,1
33300,33599,exhibition hall,main convention,2
33300,33599,main convention,poster area,1
33300,33599,north stairway (1st floor),north stairway (2nd floor),1
33300,33599,poster area,main convention,13
33300,33599,poster area,north stairway (1st floor),1
33300,33599,poster area,room 2,1
33300,33599,poster area,toilet 1,2
33300,33599,room 2,poster area,3
33300,33599,room 4,main convention,1
33300,33599,south stairway (1st floor),south stairway (2nd floor),1
33300,33599,south stairway (2nd floor),toilet 3,1
33300,33599,toilet 1,main convention,1
33300,33599,toilet 1,room 2,1
33300,33599,toilet 1,south stairway (1st floor),1
33600,33899,exhibition hall,main convention,3
33600,33899,main convention,poster area,2
33600,33899,north stairway (2nd floor),north stairway (1st floor),1
33600,33899,north stairway (2nd floor),toilet 3,1
33600,33899,poster area,main convention,5
33600,33899,poster area,toilet 1,2
33600,33899,room 2,main convention,1
33600,33899,room 2,poster area,5
33600,33899,south stairway (1st floor),exhibition hall,1
33600,33899,south stairway (1st floor),main convention,1
33600,33899,south stairway (1st floor),south stairway (2nd floor),1
33600,33899,south stairway (2nd floor),rest area,1
33600,33899,south stairway (2nd floor),south stairway (1st floor),3
33600,33899,toilet 1,main convention,1
33600,33899,toilet 1,poster area,1
33600,33899,toilet 1,room 2,1
33600,33899,toilet 1,south stairway (1st floor),1
33600,33899,toilet 3,north stairway (2nd floor),1
33600,33899,toilet 3,south stairway (2nd floor),1
33900,34199,exhibition hall,main convention,3
33900,34199,exhibition hall,south stairway (1st floor),1
33900,34199,exhibition hall,toilet 2,2
33900,34199,north stairway (1st floor),main convention,1
33900,34199,poster area,exhibition hall,1
33900,34199,poster area,main convention,1
33900,34199,poster area,room 2,3
33900,34199,room 3,exhibition hall,1
33900,34199,south stairway (1st floor),exhibition hall,1
33900,34199,south stairway (1st floor),main convention,3
33900,34199,south stairway (1st floor),south stairway (2nd floor),1
33900,34199,south stairway (2nd floor),rest area,1
33900,34199,toilet 1,exhibition hall,1
33900,34199,toilet 1,poster area,1
33900,34199,toilet 2,main convention,1
34200,34499,exhibition hall,south stairway (1st floor),1
34200,34499,exhibition hall,toilet 1,1
34200,34499,exhibition hall,toilet 2,4
34200,34499,main convention,exhibition hall,3
34200,34499,main convention,south stairway (1st floor),1
34200,34499,poster area,exhibition hall,1
34200,34499,poster area,main convention,1
34200,34499,poster area,room 2,2
34200,34499,poster area,south stairway (1st floor),1
34200,34499,poster area,toilet 1,2
34200,34499,rest area,south stairway (2nd floor),1
34200,34499,south stairway (1st floor),exhibition hall,3
34200,34499,south stairway (1st floor),poster area,1
34200,34499,south stairway (1st floor),south stairway (2nd floor),3
34200,34499,south stairway (2nd floor),rest area,1
34200,34499,south stairway (2nd floor),south stairway (1st floor),5
34200,34499,toilet 1,poster area,1
34200,34499,toilet 2,south stairway (1st floor),1
34500,34799,exhibition hall,poster area,1
34500,34799,exhibition hall,south stairway (1st floor),2
34500,34799,exhibition hall,toilet 2,3
34500,34799,main convention,exhibition hall,6
34500,34799,main convention,north stairway (1st floor),2
34500,34799,main convention,room 3,1
34500,34799,main convention,south stairway (1st floor),5
34500,34799,main convention,toilet 2,23
34500,34799,north stairway (1st floor),poster area,1
34500,34799,poster area,room 2,2
34500,34799,poster area,toilet 1,5
34500,34799,room 3,exhibition hall,2
34500,34799,south stairway (1st floor),exhibition hall,3
34500,34799,south stairway (1st floor),south stairway (2nd floor),8
34500,34799,south stairway (2nd floor),rest area,1
34500,34799,south stairway (2nd floor),south stairway (1st floor),5
34500,34799,south stairway (2nd floor),toilet 3,6
34500,34799,toilet 1,main convention,1
34500,34799,toilet 1,poster area,3
34500,34799,toilet 2,exhibition hall,2
34500,34799,toilet 2,poster area,2
34500,34799,toilet 2,south stairway (1st floor),1
34500,34799,toilet 3,south stairway (2nd floor),2
34800,35099,exhibition hall,main convention,1
34800,35099,exhibition hall,south stairway (1st floor),2
34800,35099,exhibition hall,toilet 2,3
34800,35099,main convention,exhibition hall,50
34800,35099,main convention,north stairway (1st floor),5
34800,35099,main convention,poster area,9
34800,35099,main convention,room 2,3
34800,35099,main convention,room 3,5
34800,35099,main convention,room 4,2
34800,35099,main convention,south stairway (1st floor),27
34800,35099,main convention,toilet 1,18
34800,35099,main convention,toilet 2,154
34800,35099,north stairway (1st floor),north stairway (2nd floor),6
34800,35099,north stairway (2nd floor),toilet 3,5
34800,35099,poster area,exhibition hall,6
34800,35099,poster area,south stairway (1st floor),1
34800,35099,poster area,toilet 1,8
34800,35099,room 2,poster area,3
34800,35099,room 3,exhibition hall,3
34800,35099,room 3,poster area,1
34800,35099,south stairway (1st floor),exhibition hall,5
34800,35099,south stairway (1st floor),room 3,2
34800,35099,south stairway (1st floor),south stairway (2nd floor),35
34800,35099,south stairway (2nd floor),rest area,1
34800,35099,south stairway (2nd floor),south stairway (1st floor),4
34800,35099,south stairway (2nd floor),toilet 3,9
34800,35099,toilet 1,exhibition hall,1
34800,35099,toilet 1,poster area,9
34800,35099,toilet 2,exhibition hall,18
34800,35099,toilet 2,main convention,1
34800,35099,toilet 2,poster area,1
34800,35099,toilet 2,room 2,1
34800,35099,toilet 2,room 3,2
34800,35099,toilet 2,south stairway (1st floor),8
34800,35099,toilet 3,rest area,1
34800,35099,toilet 3,south stairway (2nd floor),4
35100,35399,exhibition hall,main convention,136
35100,35399,exhibition hall,toilet 2,2
35100,35399,main convention,exhibition hall,77
35100,35399,main convention,north stairway (1st floor),8
35100,35399,main convention,poster area,26
35100,35399,main convention,room 2,9
35100,35399,main convention,room 3,3
35100,35399,main convention,room 4,6
35100,35399,main convention,south stairway (1st floor),70
35100,35399,main convention,toilet 1,38
35100,35399,main convention,toilet 2,277
35100,35399,north stairway (1st floor),main convention,10
35100,35399,north stairway (1st floor),north stairway (2nd floor),7
35100,35399,north stairway (1st floor),poster area,1
35100,35399,north stairway (2nd floor),north stairway (1st floor),10
35100,35399,north stairway (2nd floor),toilet 3,7
35100,35399,poster area,exhibition hall,3
35100,35399,poster area,main convention,50
35100,35399,poster area,north stairway (1st floor),3
35100,35399,poster area,room 2,1
35100,35399,poster area,south stairway (1st floor),2
35100,35399,poster area,toilet 1,15
35100,35399,rest area,south stairway (2nd floor),4
35100,35399,room 2,main convention,20
35100,35399,room 2,poster area,3
35100,35399,room 2,south stairway (1st floor),1
35100,35399,room 3,exhibition hall,4
35100,35399,room 3,main convention,7
35100,35399,room 3,toilet 2,1
35100,35399,room 4,main convention,6
35100,35399,south stairway (1st floor),exhibition hall,1
35100,35399,south stairway (1st floor),main convention,23
35100,35399,south stairway (1st floor),poster area,2
35100,35399,south stairway (1st floor),room 3,2
35100,35399,south stairway (1st floor),south stairway (2nd floor),75
35100,35399,south stairway (2nd floor),rest area,1
35100,35399,south stairway (2nd floor),south stairway (1st floor),38
35100,35399,south stairway (2nd floor),toilet 3,55
35100,35399,toilet 1,main convention,14
35100,35399,toilet 1,north stairway (1st floor),1
35100,35399,toilet 1,poster area,14
35100,35399,toilet 2,exhibition hall,28
35100,35399,toilet 2,main convention,188
35100,35399,toilet 2,poster area,8
35100,35399,toilet 2,room 2,3
35100,35399,toilet 2,room 3,2
35100,35399,toilet 2,south stairway (1st floor),4
35100,35399,toilet 3,north stairway (2nd floor),10
35100,35399,toilet 3,south stairway (2nd floor),20
35400,35699,exhibition hall,main convention,48
35400,35699,main convention,exhibition hall,1
35400,35699,main convention,poster area,7
35400,35699,main convention,south stairway (1st floor),1
35400,35699,main convention,toilet 1,9
35400,35699,main convention,toilet 2,2
35400,35699,north stairway (1st floor),main convention,7
35400,35699,north stairway (2nd floor),north stairway (1st floor),3
35400,35699,poster area,main convention,46
35400,35699,poster area,south stairway (1st floor),1
35400,35699,poster area,toilet 1,4
35400,35699,room 2,exhibition hall,1
35400,35699,room 2,main convention,8
35400,35699,room 3,exhibition hall,3
35400,35699,room 3,main convention,1
35400,35699,room 4,main convention,2
35400,35699,south stairway (1st floor),exhibition hall,1
35400,35699,south stairway (1st floor),main convention,64
35400,35699,south stairway (1st floor),south stairway (2nd floor),2
35400,35699,south stairway (2nd floor),south stairway (1st floor),65
35400,35699,south stairway (2nd floor),toilet 3,20
35400,35699,toilet 1,exhibition hall,1
35400,35699,toilet 1,main convention,31
35400,35699,toilet 1,poster area,15
35400,35699,toilet 1,room 3,1
35400,35699,toilet 2,main convention,185
35400,35699,toilet 2,poster area,1
35400,35699,toilet 3,north stairway (2nd floor),2
35400,35699,toilet 3,south stairway (2nd floor),57
35700,35999,exhibition hall,main convention,1
35700,35999,exhibition hall,poster area,1
35700,35999,exhibition hall,south stairway (1st floor),2
35700,35999,exhibition hall,toilet 2,1
35700,35999,poster area,exhibition hall,3
35700,35999,poster area,main convention,9
35700,35999,poster area,toilet 1,6
35700,35999,room 2,poster area,1
35700,35999,room 3,exhibition hall,2
35700,35999,south stairway (1st floor),main convention,29
35700,35999,south stairway (1st floor),south stairway (2nd floor),3
35700,35999,south stairway (2nd floor),south stairway (1st floor),9
35700,35999,south stairway (2nd floor),toilet 3,1
35700,35999,toilet 1,exhibition hall,3
35700,35999,toilet 1,main convention,11
35700,35999,toilet 1,poster area,2
35700,35999,toilet 2,main convention,5
35700,35999,toilet 2,poster area,1
35700,35999,toilet 3,south stairway (2nd floor),7
36000,36299,exhibition hall,main convention,2
36000,36299,exhibition hall,south stairway (1st floor),1
36000,36299,poster area,exhibition hall,2
36000,36299,poster area,main convention,3
36000,36299,poster area,toilet 1,5
36000,36299,south stairway (1st floor),exhibition hall,1
36000,36299,south stairway (1st floor),main convention,1
36000,36299,south stairway (1st floor),poster area,1
36000,36299,south stairway (1st floor),south stairway (2nd floor),2
36000,36299,south stairway (2nd floor),south stairway (1st floor),4
36000,36299,south stairway (2nd floor),toilet 3,1
36000,36299,toilet 1,exhibition hall,2
36000,36299,toilet 1,poster area,8
36000,36299,toilet 2,south stairway (1st floor),1
36000,36299,toilet 3,south stairway (2nd floor),1
36300,36599,exhibition hall,main convention,8
36300,36599,exhibition hall,poster area,3
36300,36599,exhibition hall,south stairway (1st floor),8
36300,36599,exhibition hall,toilet 1,2
36300,36599,exhibition hall,toilet 2,2
36300,36599,poster area,exhibition hall,5
36300,36599,poster area,main convention,6
36300,36599,poster area,room 2,1
36300,36599,poster area,room 3,1
36300,36599,poster area,south stairway (1st floor),6
36300,36599,poster area,toilet 1,9
36300,36599,poster area,toilet 2,1
36300,36599,room 3,exhibition hall,1
36300,36599,room 3,poster area,1
36300,36599,room 3,south stairway (1st floor),2
36300,36599,room 4,toilet 2,1
36300,36599,south stairway (1st floor),exhibition hall,7
36300,36599,south stairway (1st floor),poster area,4
36300,36599,south stairway (1st floor),south stairway (2nd floor),17
36300,36599,south stairway (2nd floor),south stairway (1st floor),2
36300,36599,south stairway (2nd floor),toilet 3,4
36300,36599,toilet 1,exhibition hall,1
36300,36599,toilet 1,main convention,2
36300,36599,toilet 1,poster area,6
36300,36599,toilet 2,poster area,1
36600,36899,exhibition hall,main convention,2
36600,36899,exhibition hall,poster area,1
36600,36899,exhibition hall,south stairway (1st floor),1
36600,36899,exhibition hall,toilet 2,2
36600,36899,poster area,exhibition hall,6
36600,36899,poster area,room 3,1
36600,36899,poster area,south stairway (1st floor),2
36600,36899,poster area,toilet 1,4
36600,36899,room 2,poster area,1
36600,36899,room 3,exhibition hall,4
36600,36899,room 3,poster area,1
36600,36899,room 3,south stairway (1st floor),1
36600,36899,south stairway (1st floor),exhibition hall,4
36600,36899,south stairway (1st floor),south stairway (2nd floor),4
36600,36899,south stairway (2nd floor),south stairway (1st floor),4
36600,36899,south stairway (2nd floor),toilet 3,2
36600,36899,toilet 1,exhibition hall,3
36600,36899,toilet 1,poster area,5
36600,36899,toilet 1,room 3,1
36600,36899,toilet 2,exhibition hall,1
36600,36899,toilet 2,main convention,4
36600,36899,toilet 2,poster area,1
36600,36899,toilet 3,rest area,2
36600,36899,toilet 3,south stairway (2nd floor),3
36900,37199,exhibition hall,poster area,1
36900,37199,exhibition hall,south stairway (1st floor),1
36900,37199,exhibition hall,toilet 2,2
36900,37199,main convention,exhibition hall,1
36900,37199,main convention,toilet 2,1
36900,37199,poster area,exhibition hall,7
36900,37199,poster area,main convention,2
36900,37199,poster area,room 2,1
36900,37199,poster area,south stairway (1st floor),1
36900,37199,rest area,south stairway (2nd floor),1
36900,37199,room 3,south stairway (1st floor),1
36900,37199,south stairway (1st floor),south stairway (2nd floor),4
36900,37199,south stairway (2nd floor),rest area,3
36900,37199,south stairway (2nd floor),south stairway (1st floor),2
36900,37199,south stairway (2nd floor),toilet 3,1
36900,37199,toilet 1,exhibition hall,1
36900,37199,toilet 1,poster area,2
36900,37199,toilet 1,room 3,1
36900,37199,toilet 2,exhibition hall,1
36900,37199,toilet 3,rest area,1
37200,37499,exhibition hall,main convention,1
37200,37499,exhibition hall,poster area,2
37200,37499,exhibition hall,room 2,1
37200,37499,exhibition hall,south stairway (1st floor),2
37200,37499,exhibition hall,toilet 2,3
37200,37499,main convention,exhibition hall,2
37200,37499,main convention,poster area,1
37200,37499,main convention,room 3,3
37200,37499,main convention,south stairway (1st floor),2
37200,37499,main convention,toilet 1,2
37200,37499,main convention,toilet 2,16
